adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950123-10-070322	933036	RENT A CENTER INC DE	7359	US	TX	PLANO	75024	5501 HEADQUARTERS DRIVE		972-801-1100	US	TX	PLANO	75024	5501 HEADQUARTERS DRIVE				450491516	RENTERS CHOICE INC	19941128	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 12:07:00.0	0	0	rcii-20100630.xml	1	
0000950123-10-070344	1317630	ITC HOLDINGS CORP.	4911	US	MI	NOVI	48377	27175 ENERGY WAY		248-946-3000	US	MI	NOVI	48377	27175 ENERGY WAY		US	MI	320058047			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 12:27:00.0	0	0	itc-20100630.xml	1	
0000950123-10-070348	1019737	NAVIGANT CONSULTING INC	8742	US	IL	CHICAGO	60606	30 S. WACKER	SUITE 3550	3125735650	US	IL	CHICAGO	60606	30 S. WACKER	SUITE 3550	US	DE	364094854	METZLER GROUP INC	19960826	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 12:33:00.0	0	0	nci-20100630.xml	1	
0000950123-10-070354	1361658	WYNDHAM WORLDWIDE CORP	7011	US	NJ	PARSIPPANY	07054	22 SYLVAN WAY		973-428-9700	US	NJ	PARSIPPANY	07054	22 SYLVAN WAY		US	DE	200052541			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 12:40:00.0	0	0	wyn-20100630.xml	1	
0000950123-10-070375	97854	THOMAS & BETTS CORP	3640	US	TN	MEMPHIS	38125	8155 T&B BOULEVARD		9012525000	US	TN	MEMPHIS	38125	8155 T&B BOULEVARD		US	TN	221326940			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 13:11:00.0	0	0	tnb-20100630.xml	1	
0000950123-10-070376	935036	ACI WORLDWIDE, INC.	7372	US	NY	NEW YORK	10271	120 BROADWAY, SUITE 3350		402-390-7600	US	NY	NEW YORK	10271	120 BROADWAY, SUITE 3350		US	DE	470772104	TRANSACTION SYSTEMS ARCHITECTS INC	19950109	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 13:11:00.0	0	0	aciw-20100630.xml	1	
0000950123-10-070416	1019849	PENSKE AUTOMOTIVE GROUP, INC.	5500	US	MI	BLOOMFIELD HILLS	48302-0954	2555 TELEGRAPH RD		248-648-2500	US	MI	BLOOMFIELD HILLS	48302-0954	2555 TELEGRAPH RD		US	DE	223086739	UNITED AUTO GROUP INC	19960726	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 14:06:00.0	0	0	pag-20100630.xml	1	
0000950123-10-070420	906345	CAMDEN PROPERTY TRUST	6798	US	TX	HOUSTON	77046	3 GREENWAY PLAZA	SUITE 1300	7133542500	US	TX	HOUSTON	77046	3 GREENWAY PLAZA	SUITE 1300	US	TX	766088377			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 14:09:00.0	0	0	cpt-20100630.xml	1	
0000950123-10-070463	853816	LANDSTAR SYSTEM INC	4213	US	FL	JACKSONVILLE	32224	13410 SUTTON PARK DRIVE SOUTH		9043901234	US	FL	JACKSONVILLE	32224	LANDSTAR SYSTEM INC	13410 SUTTON PARK DRIVE SOUTH	US	DE	061313069			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:08:00.0	0	0	lstr-20100626.xml	1	
0000950123-10-070485	89089	SERVICE CORPORATION INTERNATIONAL	7200	US	TX	HOUSTON	77019	1929 ALLEN PKWY	P O BOX 130548	7135225141	US	TX	HOUSTON	77219-0548	P O BOX 130548		US	TX	741488375			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:41:00.0	0	0	sci-20100630.xml	1	
0000950123-10-070495	1076195	LIFE TIME FITNESS INC	7997	US	MN	CHANHASSEN	55317	2902 CORPORATE PLACE		952-229-7543	US	MN	CHANHASSEN	55317	2902 CORPORATE PLACE		US	MN	411689746			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:55:00.0	0	0	ltm-20100630.xml	1	
0000950123-10-070497	1339553	HEALTHSPRING, INC.	6324	US	TN	FRANKLIN	37067	9009 CAROTHERS PARKWAY, SUITE 501		615-291-7000	US	TN	FRANKLIN	37067	9009 CAROTHERS PARKWAY, SUITE 501		US	DE	201821898			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:59:00.0	0	0	hs-20100630.xml	1	
0000950123-10-070500	311094	WESTAMERICA BANCORPORATION	6021	US	CA	SAN RAFAEL	94901	1108 FIFTH AVE		(707) 863-6000	US	CA	FAIRFIELD	94585-1200	4550 MANGELS BLVD	A-2Y	US	CA	942156203	INDEPENDENT BANKSHARES CORP	19830801	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:05:00.0	0	0	wabc-20100630.xml	1	
0000950123-10-070517	39899	GANNETT CO INC /DE/	2711	US	VA	MCLEAN	22107-0910	7950 JONES BRANCH DRIVE		7038546000	US	VA	MCLEAN	22107-0910	7950 JONES BRANCH DRIVE		US	DE	160442930			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:20:00.0	0	0	gci-20100627.xml	1	
0000950123-10-070519	1013934	STRAYER EDUCATION INC	8200	US	VA	ARLINGTON	22209	1100 WILSON BLVD., SUITE 2500		703-247-2500	US	VA	ARLINGTON	22209	1100 WILSON BLVD., SUITE 2500		US	MD	521975978			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:23:00.0	0	0	stra-20100630.xml	1	
0000950123-10-070521	740260	VENTAS INC	6798	US	IL	CHICAGO	60606	111 SOUTH WACKER DRIVE	SUITE 4800	(877) 483-6827	US	IL	CHICAGO	60606	111 SOUTH WACKER DRIVE	SUITE 4800	US	DE	611055020			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:25:00.0	0	0	vtr-20100630.xml	1	
0000950123-10-070537	927653	MCKESSON CORP	5122	US	CA	SAN FRANCISCO	94104	ONE POST ST	MCKESSON PLAZA	4159838300	US	CA	SAN FRANCISCO	94104	ONE POST ST		US	DE	943207296	MCKESSON HBOC INC	19990115	1-LAF	1	0331	10-Q	20100630	2010	Q1	20100730	2010-07-30 16:39:00.0	0	1	mck-20100630.xml	1	
0000950123-10-070540	804753	CERNER CORP /MO/	7373	US	MO	KANSAS CITY	64117	2800 ROCKCREEK PKWY-STE 601		8162211024	US	MO	KANSAS CITY	64117	2800 ROCKCREEK PKWY	DROP 1624	US	DE	431196944			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:40:00.0	0	0	cern-20100703.xml	1	
0000950123-10-070570	50863	INTEL CORP	3674	US	CA	SANTA CLARA	95054	2200 MISSION COLLEGE BLVD	RNB-4-151	4087658080	US	CA	SANTA CLARA	95054	2200 MISSION COLLEGE BLVD	RNB-4-151	US	DE	941672743			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:13:00.0	0	1	intc-20100626.xml	1	
0000950123-10-070580	1108109	COMMUNITY HEALTH SYSTEMS INC	8062	US	TN	FRANKLIN	37067	4000 MERIDIAN BOULEVARD		615-465-7000	US	TN	FRANKLIN	37067	4000 MERIDIAN BOULEVARD		US	DE	133893191	COMMUNITY HEALTH SYSTEMS INC/	20000229	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:24:00.0	0	0	cyh-20100630.xml	1	
0000950123-10-070583	93556	STANLEY BLACK & DECKER, INC.	3420	US	CT	NEW BRITAIN	06053	1000 STANLEY DR	P O BOX 7000	8602255111	US	CT	NEW BRITAIN	06053	1000 STANLEY DR		US	CT	060548860	STANLEY WORKS	19920703	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:25:00.0	0	0	swk-20100703.xml	1	
0000950123-10-070587	917273	RAMBUS INC	3674	US	CA	LOS ALTOS	94022	4440 EL CAMINO REAL		650-947-5000	US	CA	LOS ALTOS	94022	4440 EL CAMINO REAL		US	DE	943112828			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:26:00.0	0	0	rmbs-20100630.xml	1	
0001047469-10-006788	19411	MAGELLAN HEALTH SERVICES INC	8060	US	MD	COLUMBIA	21046	6950 COLUMBIA GATEWAY	STE 400	4109531000							US	DE	581076937	CHARTER MEDICAL CORP	19920703	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 11:39:00.0	0	0	mgln-20100630.xml	1	
0001104659-10-040563	787250	DPL INC	4931	US	OH	DAYTON	45432	1065 WOODMAN DRIVE		937 259 7142	US	OH	DAYTON	45432	1065 WOODMAN DRIVE		US	OH	311163136			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-29 17:41:00.0	0	0	dpl-20100630.xml	2	27430
0001104659-10-040654	1052100	WADDELL & REED FINANCIAL INC	6211	US	KS	OVERLAND PARK	66202-4200	6300 LAMAR AVE		9132362000	US	KS	SHAWNEE MISSION	66201-9217	PO BOX 29217		US	DE	510261715			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 08:01:00.0	0	0	wdr-20100630.xml	1	
0001104659-10-040660	776867	WHITE MOUNTAINS INSURANCE GROUP LTD	6331	US	NH	HANOVER	03755	80 SOUTH MAIN ST		603 640 2200	US	NH	HANOVER	03755	80 SOUTH MAIN STREET		BM		942708455	WHITE MOUNTAINS INSURANCE GROUP INC	19990603	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 08:26:00.0	0	0	wtm-20100630.xml	1	
0001104659-10-040690	860546	CORPORATE OFFICE PROPERTIES TRUST	6798	US	MD	COLUMBIA	21046	6711 COLUMBIA GATEWAY DRIVE	SUITE 300	4432855400	US	MD	COLUMBIA	21046	6711 COLUMBIA GATEWAY DRIVE	SUITE 300	US	MD	232947217	CORPORATE OFFICE PROPERTIES TRUST INC	19980105	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 10:41:00.0	0	0	ofc-20100630.xml	1	
0001104659-10-040695	26172	CUMMINS INC	3510	US	IN	COLUMBUS	47202-3005	500 JACKSON ST	BOX 3005 MAIL CODE 60207	8123773842	US	IN	COLUMBUS	47202-3005	BOX 3005 MAIL CODE 60207	500	US	IN	350257090	CUMMINS ENGINE CO INC	19920703	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 10:45:00.0	0	1	cmi-20100627.xml	1	
0001104659-10-040706	912183	CUBIST PHARMACEUTICALS INC	2834	US	MA	LEXINGTON	02421	65 HAYDEN AVENUE		781-860-8660	US	MA	LEXINGTON	02421	65 HAYDEN AVENUE		US	DE	223192085			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 11:06:00.0	0	0	cbst-20100630.xml	1	
0001104659-10-040771	1023131	COVANCE INC	8731	US	NJ	PRINCETON	08540	210 CARNEGIE CENTER		6094524440	US	NJ	PRINCETON	08540	COVANCE INC	210 CARNEGIE CENTER	US	DE	223265977	CORNING PHARMACEUTICAL SERVICES INC	19960917	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 14:31:00.0	0	0	cvd-20100630.xml	1	
0001104659-10-040777	84839	ROLLINS INC	7340	US	GA	ATLANTA	30324	2170 PIEDMONT RD NE		4048882000	US	GA	ATLANTA	30324	2170 PIEDMONT ROAD NE		US	DE	510068479			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 14:45:00.0	0	0	rol-20100630.xml	1	
0001104659-10-040789	831641	TETRA TECH INC	8711	US	CA	PASADENA	91107	3475 EAST FOOTHILL BOULEVARD		6263514664	US	CA	PASADENA	91107	3475 EAST FOOTHILL BOULEVARD		US	DE	954148514			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100730	2010-07-30 15:18:00.0	0	0	ttek-20100627.xml	1	
0001104659-10-040794	1102541	EARTHLINK INC	7370	US	GA	ATLANTA	30309	1375 PEACHTREE STREET	SUITE 400	4048150770	US	GA	ATLANTA	30309	1375 PEACHTREE STREET		US	DE	582511877	WWW HOLDINGS INC	20000104	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:22:00.0	0	0	elnk-20100630.xml	1	
0001104659-10-040832	28412	COMERICA INC /NEW/	6021	US	TX	DALLAS	75201	1717 MAIN STREET MC	COMERICA BANK TOWER	214-462-4302	US	TX	DALLAS	75201	1717 MAIN STREET MC	ATTN: NICOLE GERSCH			000006021	DETROITBANK CORP	19850311	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:18:00.0	0	0	cma-20100630.xml	1	
0001104659-10-040854	72903	XCEL ENERGY INC	4931	US	MN	MINNEAPOLIS	55402	800 NICOLLET MALL		6123305500	US	MN	MINNEAPOLIS	55401	800 NICOLLET MALL		US	MN	410448030	NORTHERN STATES POWER CO /MN/	19920703	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:00:00.0	0	1	xel-20100630.xml	1	
0001104659-10-040859	1096061	NATIONAL BANK OF GREECE SA	6029	GR		ATHENS	10232	86 EOLOU ST		01130103341000	GR		ATHENS	10232	86 EOLOU ST				000000000			1-LAF	1	1231	20-F/A	20091231	2009	FY	20100730	2010-07-30 17:05:00.0	0	0	nbg-20091231.xml	1	
0001126956-10-000019	1126956	LACLEDE GROUP INC	4924	US	MO	ST LOUIS	63101	720 OLIVE ST		3143420500	US	MO	ST LOUIS	63101	720 OLIVE ST	RM 1517	US	MO	742976504			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100730	2010-07-30 16:04:00.0	0	0	lg-20100630.xml	2	57183
0001140361-10-030855	97476	TEXAS INSTRUMENTS INC	3674	US	TX	DALLAS	75266	P.O. BOX 660199		9729953773	US	TX	DALLAS	75266	12500 TI BLVD	PO BOX 660199	US	DE	750289970			1-LAF	1	1231	10-Q/A	20100630	2010	Q2	20100730	2010-07-30 15:21:00.0	0	1	txn-20100630.xml	1	
0001157523-10-004512	19584	CHEMED CORP	8082	US	OH	CINCINNATI	45202	2600 CHEMED CTR	255 E FIFTH ST	(513)762-6900	US	OH	CINCINNATI	45202	2600 CHEMED CTR	255 E FIFTH STREET	US	DE	310791746	ROTO-ROOTER INC	20030613	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 11:49:00.0	0	0	che-20100630.xml	1	
0001193125-10-170883	1338749	POTLATCH CORP	6798	US	WA	SPOKANE	99201	601 WEST FIRST AVENUE	SUITE 1600	(509) 835-1500	US	WA	SPOKANE	99201	601 WEST FIRST AVENUE	SUITE 1600	US	DE	820156045	POTLATCH HOLDINGS, INC.	20050914	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-29 17:33:00.0	0	0	pch-20100630.xml	1	
0001193125-10-170982	1324424	EXPEDIA, INC.	4700	US	WA	BELLEVUE	98004	333 108TH AVENUE NE		(425) 679-7200	US	WA	BELLEVUE	98004	333 108TH AVENUE NE				202705720			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-29 18:32:00.0	0	0	expe-20100630.xml	1	
0001193125-10-171523	773141	MDC HOLDINGS INC	1531	US	CO	DENVER	80237	4350 S MONACO STREET	SUITE 500	3037731100	US	CO	DENVER	80237	4350 S MONACO STREET	SUITE 500	US	DE	840622967			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 08:01:00.0	0	0	mdc-20100630.xml	1	
0001193125-10-171608	52827	RAYONIER INC	6798	US	FL	JACKSONVILLE	32202	50 NORTH LAURA ST	SUITE 1900	9043579100	US	FL	JACKSONVILLE	32202	50 NORTH LAURA ST	SUITE 1900	US	NC	132607329	ITT RAYONIER INC /CT/	19940422	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 09:20:00.0	0	0	ryn-20100630.xml	1	
0001193125-10-171791	789019	MICROSOFT CORP	7372	US	WA	REDMOND	98052-6399	ONE MICROSOFT WAY		425-882-8080	US	WA	REDMOND	98052-6399	ONE MICROSOFT WAY		US	WA	911144442			1-LAF	1	0630	10-K	20100630	2010	FY	20100730	2010-07-30 11:31:00.0	0	1	msft-20100630.xml	1	
0001193125-10-171844	1276520	GENWORTH FINANCIAL INC	6311	US	VA	RICHMOND	23230	6620 WEST BROAD STREET		804-281-6000	US	VA	RICHMOND	23230	6620 WEST BROAD STREET		US	DE	331073076			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 12:09:00.0	0	0	gnw-20100630.xml	1	
0001193125-10-171983	858470	CABOT OIL & GAS CORP	1311	US	TX	HOUSTON	77077	1200 ENCLAVE PARKWAY		2815894600							US	DE	043072771			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 13:38:00.0	0	0	cog-20100630.xml	1	
0001193125-10-172024	712537	FIRST COMMONWEALTH FINANCIAL CORP /PA/	6021	US	PA	INDIANA	15701	OLD COURTHOUSE SQUARE	22 N SIXTH ST	7243497220	US	PA	INDIANA	15701	22 NORTH SIXTH STREET	P.O. BOX 400	US	PA	251428528			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 14:01:00.0	0	0	fcf-20100630.xml	1	
0001193125-10-172043	1038357	PIONEER NATURAL RESOURCES CO	1311	US	TX	IRVING	75039	200 WILLIAMS SQUARE WEST	5205 N OCONNOR BLVD	9724449001	US	TX	IRVING	75039	200 WILLIAMS SQUARE WEST	5205 N OCONNOR BLVD	US	DE	752702753			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 14:11:00.0	0	0	pxd-20100630.xml	1	
0001193125-10-172130	746838	UNISYS CORP	7373	US	PA	BLUE BELL	19424	UNISYS WAY		2159864011	US	PA	BLUE BELL	19424	TOWNSHIP LINE & UNION MEETING ROADS		US	DE	380387840	BURROUGHS CORP /DE/	19861204	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:12:00.0	0	0	uis-20100630.xml	1	
0001193125-10-172144	52988	JACOBS ENGINEERING GROUP INC /DE/	1600	US	CA	PASADENA	91105-3063	1111 S ARROYO PARKWAY		6265783500	US	CA	PASADENA	91105-3063	1111 S ARROYO PARKWAY		US	DE	954081636			1-LAF	0	0930	10-Q	20100630	2010	Q3	20100730	2010-07-30 15:18:00.0	0	1	jec-20100702.xml	1	
0001193125-10-172157	768899	TRUEBLUE, INC.	7363	US	WA	TACOMA	98402	1015 A STREET		253-383-9101	US	WA	TACOMA	98402	P.O. BOX 2910	1015 A. ST.	US	WA	911287341	LABOR READY INC	19920703	2-ACC	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:29:00.0	0	0	tbi-20100625.xml	1	
0001193125-10-172172	1292653	NEUTRAL TANDEM INC	4813	US	IL	CHAICAGO	60606	ONE SOUT WACKER DR	SUITE 200	312-384-8040	US	IL	CHAICAGO	60606	ONE SOUT WACKER DR	SUITE 200			000000000			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:41:00.0	0	0	tndm-20100630.xml	1	
0001193125-10-172195	1065696	LKQ CORP	5010	US	IL	CHICAGO	60602	120 NORTH LASALLE STREET	SUITE 3300		US	IL	CHICAGO	60602	120 N LASALLE STREET	STE 3300	US	DE	364215970			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:55:00.0	0	0	lkqx-20100630.xml	1	
0001193125-10-172206	892537	MANTECH INTERNATIONAL CORP	8741	US	VA	FAIRFAX	22033-3300	12015 LEE JACKSON MEMORIAL HIGHWAY		703-218-6000	US	VA	FAIRFAX	22033-3300	12015 LEE JACKSON MEMORIAL HIGHWAY		US	DE	221852179			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:01:00.0	0	0	mant-20100630.xml	1	
0001193125-10-172207	1385187	COVIDIEN PLC	3841	IE		LOUGHLINSTOWN	DUBLIN 18	CHERRYWOOD BUSINESS PARK	BLOCK G, FIRST FLOOR	353 1 439-3000	IE		LOUGHLINSTOWN	DUBLIN 18	CHERRYWOOD BUSINESS PARK	BLOCK G, FIRST FLOOR			980624794	COVIDIEN LTD.	20070321	1-LAF	0	0930	10-Q	20100630	2010	Q3	20100730	2010-07-30 16:02:00.0	0	1	cov-20100625.xml	1	
0001193125-10-172211	1357326	RIVERBED TECHNOLOGY, INC.	3576	US	CA	SAN FRANCISCO	94105	199 FREMONT STREET		(415) 247-8800	US	CA	SAN FRANCISCO	94105	199 FREMONT STREET		US	DE	030448754			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:04:00.0	0	0	rvbd-20100630.xml	1	
0001193125-10-172213	75252	OWENS & MINOR INC/VA/	5047	US	VA	MECHANICSVILLE	23116	9120 LOCKWOOD BLVD		8047237000	US	VA	MECHANICSVILLE	23116	9120 LOCKWOOD BLVD		US	VA	541701843	O&M HOLDING INC	19940504	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:05:00.0	0	0	omi-20100630.xml	1	
0001193125-10-172222	1311370	LAZARD LTD	6282	BM		HAMILTON	HM II	CLARENDON HOUSE	2 CHURCH STREET	(441) 295-1422	BM		HAMILTON	HM II	CLARENDON HOUSE	2 CHURCH STREET	BM		980437848			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:08:00.0	0	0	laz-20100630.xml	1	
0001193125-10-172294	1010552	POLYCOM INC	3661	US	CA	PLEASANTON	94588-2708	4750 WILLOW ROAD		9259246000	US	CA	PLEASANTON	94588	4750 WILLOW RD		US	DE	943128324			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:51:00.0	0	0	plcm-20100630.xml	1	
0001193125-10-172299	354190	GALLAGHER ARTHUR J & CO	6411	US	IL	ITASCA	60143	TWO PIERCE PLACE		6307733800	US	IL	ITASCA	60143-3141	TWO PIERCE PLACE		US	DE	362151613			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 16:53:00.0	0	0	ajg-20100630.xml	1	
0001193125-10-172323	899866	ALEXION PHARMACEUTICALS INC	2834	US	CT	CHESHIRE	06511	352 KNOTTER DRIVE		2037761790	US	CT	CHESHIRE	06511	352 KNOTTER DRIVE		US	DE	133648318			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:05:00.0	0	0	alxn-20100630.xml	1	
0001193125-10-172387	1288776	GOOGLE INC.	7370	US	CA	MOUNTAIN VIEW	94043	1600 AMPHITHEATRE PARKWAY		650 623 4000	US	CA	MOUNTAIN VIEW	94043	1600 AMPHITHEATRE PARKWAY		US	DE	770493581			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:23:00.0	0	1	goog-20100630.xml	1	
0001193125-10-172389	895126	CHESAPEAKE ENERGY CORP	1311	US	OK	OKLAHOMA CITY	73118	6100 N WESTERN AVE		4058488000	US	OK	OKLAHOMA CITY	73118	6100 NORTH WESTERN AVE		US	OK	731395733			1-LAF	0	1231	10-Q/A	20100331	2010	Q1	20100730	2010-07-30 17:25:00.0	0	0	chk-20100331.xml	1	
0001193125-10-172405	1175609	CAVIUM NETWORKS, INC.	3674	US	CA	MOUNTAIN VIEW	94043	805 EAST MIDDLEFIELD ROAD		650-623-7000	US	CA	MOUNTAIN VIEW	94043	805 EAST MIDDLEFIELD ROAD		US	DE	770558625	CAVIUM NETWORKS	20020614	1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 17:30:00.0	0	0	cavm-20100630.xml	1	
0001206774-10-001743	1096752	ENERGIZER HOLDINGS INC	3690	US	MO	ST LOUIS	63141	533 MARYVILLE UNIVERSITY DRIVE		3149852161	US	MO	ST LOUIS	63141	533 MARYVILLE UNIVERSITY DRIVE		US	MO	431863181			1-LAF	0	0930	10-Q/A	20100630	2010	Q3	20100730	2010-07-30 16:23:00.0	0	0	enr-20100630.xml	1	
0001255474-10-000014	1255474	WHITING PETROLEUM CORP	1311	US	CO	DENVER	80290	1700 BROADWAY, SUITE 2300		303-837-1661	US	CO	DENVER	80290-2300	1700 BROADWAY	STE 2300	US	DE	200098515	WHITING PETROLEUM HOLDINGS INC	20030721	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:57:00.0	0	0	wll-20100630.xml	1	
0001437749-10-002395	728535	HUNT J B TRANSPORT SERVICES INC	4213	US	AR	LOWELL	72745	615 JB HUNT CORPORATE DR		5018200000							US	AR	710335111			1-LAF	0	1231	10-Q	20100630	2010	Q2	20100730	2010-07-30 15:17:00.0	0	0	jbht-20100630.xml	1	
0000092380-10-000079	92380	SOUTHWEST AIRLINES CO	4512	US	TX	DALLAS	75235	2702 LOVE FIELD DR	P O BOX 36611	2147924000	US	TX	DALLAS	75235-1611	PO BOX 36611		US	TX	741563240	AIR SOUTHWEST CO	19760108	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100802	2010-07-30 18:21:00.0	0	1	luv-20100630.xml	1	
0000861459-10-000025	861459	GRANITE CONSTRUCTION INC	1600	US	CA	WATSONVILLE	95076	585 WEST BEACH ST		8317241011	US	CA	WATSONVILLE	95076	585 WEST BEACH ST		US	DE	770239383			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100802	2010-08-02 16:30:00.0	0	0	gva-20100630.xml	1	
0000890319-10-000022	890319	TAUBMAN CENTERS INC	6798	US	MI	BLOOMFIELD HILLS	48303-0200	200 E LONG LAKE RD	SUITE 300 P O BOX 200	2482586800	US	MI	BLOOMFIELD HILLS	48303-0200	200 E LONG LAKE RD	SUITE 300 P O BOX 200	US	MI	382933632			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100802	2010-08-02 09:08:00.0	0	0	tco-20100630.xml	1	
0000945841-10-000076	945841	POOL CORP	5090	US	LA	COVINGTON	70433-5001	109 NORTHPARK BLVD	4TH FLOOR	9858925521	US	LA	COVINGTON	70433-5001	109 NORTHPARK BLVD	4TH FLOOR	US	DE	363943363	SCP POOL CORP	19950526	1-LAF	1	1231	10-Q	20100630	2010	Q2	20100802	2010-08-02 17:01:00.0	0	0	pool-20100630.xml	1	
0000950123-10-070596	59478	LILLY ELI & CO	2834	US	IN	INDIANAPOLIS	46285	LILLY CORPORATE CTR	DROP CODE 1112	3172762000	US	IN	INDIANAPOLIS	46285	LILLY CORPORATE CENTER	DROP CODE 1112	US	IN	350470950			1-LAF	1	1231	10-Q/A	20100630	2010	Q2	20100802	2010-07-30 17:56:00.0	0	1	lly-20100630.xml	1	
0000950123-10-070614	27904	DELTA AIR LINES, INC.	4512	US	GA	ATLANTA	30354-1989	HARTSFIELD ATLANTA INTL AIRPORT	1030 DELTA BLVD	4047152600	US	GA	ATLANTA	30320-6001	P.O. BOX 20706	DEPT 981	US	DE	580218548	DELTA AIR CORP	19660908	1-LAF	1	1231	10-Q/A	20100630	2010	Q2	20100802	2010-07-30 18:50:00.0	0	0	dal-20100630.xml	1	
0000950123-10-070688	1099219	METLIFE INC	6311	US	NY	NEW YORK	10036	1095 AVENUE OF AMERICAS		212-578-5500	US	NY	NEW YORK	10036	1095 AVENUE OF AMERICAS		US	DE	134075851			1-LAF	1	1231	10-Q	20100630	2010	Q2	20100802	2010-08-02 06:12:00.0	0	1	met-20100630.xml	1	
